,Toulouse,Cergy,Meudon,Amneville,Français_Volants,Asnieres,Valence,Avignon,Marseille,Chamberry,Annecy,Limoges,Clermont,Villard,Roanne,Evry,Strasbourg,Wasquehal
Toulouse,0.0,6.53777777778,5.87805555556,8.60861111111,5.99444444444,6.30777777778,4.05944444444,3.34722222222,3.8875,5.40555555556,5.85055555556,2.62694444444,3.61944444444,5.03916666667,4.52,5.89138888889,8.94472222222,8.08916666667
Cergy,6.53777777778,0.0,0.802777777778,3.30388888889,0.697222222222,0.325833333333,5.63194444444,6.68666666667,7.45194444444,5.60277777778,5.54416666667,3.9575,4.16833333333,6.05333333333,4.67944444444,1.08027777778,4.69277777778,2.19083333333
Meudon,5.87805555556,0.802777777778,0.0,3.13277777778,0.235,0.548333333333,5.03305555556,6.08777777778,6.85305555556,5.00388888889,4.94527777778,3.31138888889,3.52222222222,5.45472222222,4.08055555556,0.481388888889,4.52166666667,2.43888888889
Amneville,8.60861111111,3.30388888889,3.13277777778,0.0,3.16166666667,3.14444444444,5.225,6.27944444444,7.04472222222,5.19583333333,5.01583333333,6.06611111111,5.50222222222,5.64638888889,4.86166666667,3.07638888889,1.67666666667,3.42444444444
Francais Volants,5.99444444444,0.697222222222,0.235,3.16166666667,0.0,0.431111111111,5.13138888889,6.18583333333,6.95138888889,5.10222222222,5.04361111111,3.46388888889,3.675,5.55277777778,4.17888888889,0.579444444444,4.51222222222,2.28444444444
Asnieres,6.30777777778,0.325833333333,0.548333333333,3.14444444444,0.431111111111,0.0,5.41333333333,6.46777777778,7.23305555556,5.38388888889,5.32527777778,3.76694444444,3.97777777778,5.83472222222,4.46055555556,0.861388888889,4.53472222222,2.11138888889
Valence,4.05944444444,5.63194444444,5.03305555556,5.225,5.13138888889,5.41333333333,0.0,1.34027777778,2.10555555556,1.54222222222,1.98722222222,4.55388888889,2.59666666667,1.17583333333,2.12222222222,4.70972222222,5.40916666667,6.84916666667
Avignon,3.34722222222,6.68666666667,6.08777777778,6.27944444444,6.18583333333,6.46777777778,1.34027777778,0.0,1.09111111111,2.68416666667,3.12916666667,5.59805555556,3.64083333333,2.31805555556,3.16638888889,5.75388888889,6.45333333333,7.89333333333
Marseille,3.8875,7.45194444444,6.85305555556,7.04472222222,6.95138888889,7.23305555556,2.10555555556,1.09111111111,0.0,3.46388888889,3.90888888889,6.19694444444,4.42055555556,3.0975,3.94583333333,6.53333333333,7.23277777778,8.67305555556
Chambery,5.40555555556,5.60277777778,5.00388888889,5.19583333333,5.10222222222,5.38388888889,1.54222222222,2.68416666667,3.46388888889,0.0,0.695555555556,4.67083333333,2.71361111111,1.36888888889,2.21416666667,4.68166666667,4.79138888889,6.82138888889
Annecy,5.85055555556,5.54416666667,4.94527777778,5.01583333333,5.04361111111,5.32527777778,1.98722222222,3.12916666667,3.90888888889,0.695555555556,0.0,5.02444444444,3.06722222222,1.95027777778,2.5675,4.64361111111,4.37333333333,6.65861111111
Limoges,2.62694444444,3.9575,3.31138888889,6.06611111111,3.46388888889,3.76694444444,4.55388888889,5.59805555556,6.19694444444,4.67083333333,5.02444444444,0.0,2.28555555556,5.16833333333,3.18305555556,3.36944444444,7.00944444444,5.5675
Clermont,3.61944444444,4.16833333333,3.52222222222,5.50222222222,3.675,3.97777777778,2.59666666667,3.64083333333,4.42055555556,2.71361111111,3.06722222222,2.28555555556,0.0,3.12833333333,1.14611111111,3.52777777778,5.69027777778,5.72555555556
Villard,5.03916666667,6.05333333333,5.45472222222,5.64638888889,5.55277777778,5.83472222222,1.17583333333,2.31805555556,3.0975,1.36888888889,1.95027777778,5.16833333333,3.12833333333,0.0,2.64055555556,5.10833333333,5.5775,7.24805555556
Roanne,4.52,4.67944444444,4.08055555556,4.86166666667,4.17888888889,4.46055555556,2.12222222222,3.16638888889,3.94583333333,2.21416666667,2.5675,3.18305555556,1.14611111111,2.64055555556,0.0,3.84166666667,5.03805555556,6.24083333333
Evry,5.89138888889,1.08027777778,0.481388888889,3.07638888889,0.579444444444,0.861388888889,4.70972222222,5.75388888889,6.53333333333,4.68166666667,4.64361111111,3.36944444444,3.52777777778,5.10833333333,3.84166666667,0.0,4.44611111111,2.59777777778
Strasbourg,8.94472222222,4.69277777778,4.52166666667,1.67666666667,4.51222222222,4.53472222222,5.40916666667,6.45333333333,7.23277777778,4.79138888889,4.37333333333,7.00944444444,5.69027777778,5.5775,5.03805555556,4.44611111111,0.0,4.82583333333
Wasquehal,8.08916666667,2.19083333333,2.43888888889,3.42444444444,2.28444444444,2.11138888889,6.84916666667,7.89333333333,8.67305555556,6.82138888889,6.65861111111,5.5675,5.72555555556,7.24805555556,6.24083333333,2.59777777778,4.82583333333,0.0
